,id,year,month,lat,lon,country,land_use_type,crop_primary,crop_secondary,water,intensity,source_type,source_class,source_description,use_validation
120,172606,2016,8,13.07889488,99.86658283,Thailand,1,3,0,2,1,ground,,mobile_application,False
122,172602,2016,8,13.04314732,99.8821879,Thailand,1,3,0,2,1,ground,,mobile_application,False
123,172600,2016,8,13.00099677,99.85908761,Thailand,1,3,0,2,1,ground,,mobile_application,False
124,172599,2016,8,12.95015219,99.84939551,Thailand,1,3,0,2,1,ground,,mobile_application,False
125,172598,2016,8,12.926243300000001,99.84555888,Thailand,1,3,0,2,1,ground,,mobile_application,False
126,172595,2016,8,12.86401527,99.79567805,Thailand,1,21,0,2,4,ground,,mobile_application,False
127,172594,2016,8,12.82311693,99.78126981,Thailand,1,21,0,2,4,ground,,mobile_application,False
128,172592,2016,8,12.79085899,99.78435294,Thailand,1,20,0,1,4,ground,,mobile_application,False
129,172591,2016,8,12.74867861,99.79464029,Thailand,1,17,0,1,1,ground,,mobile_application,False
130,172590,2016,8,12.73052325,99.75849335,Thailand,1,15,0,1,1,ground,,mobile_application,False
131,172589,2016,8,12.71929851,99.73227840000001,Thailand,1,15,0,2,1,ground,,mobile_application,False
132,172588,2016,8,12.68705231,99.71163277,Thailand,1,2,0,2,2,ground,,mobile_application,False
134,172582,2016,8,12.5666545,99.74612456,Thailand,1,2,0,2,2,ground,,mobile_application,False
135,172581,2016,8,12.5634595,99.77648193,Thailand,1,20,0,1,4,ground,,mobile_application,False
136,172580,2016,8,12.5465586,99.84755109999999,Thailand,1,21,0,1,4,ground,,mobile_application,False
137,172579,2016,8,12.54859401,99.85505479,Thailand,1,20,0,1,4,ground,,mobile_application,False
138,172578,2016,8,12.54458822,99.87047267,Thailand,1,19,0,1,4,ground,,mobile_application,False
139,172576,2016,8,12.50261464,99.86478467,Thailand,1,21,0,2,1,ground,,mobile_application,False
140,172574,2016,8,12.50609677,99.84547735,Thailand,1,21,0,1,1,ground,,mobile_application,False
141,172573,2016,8,12.49394796,99.83406119,Thailand,1,15,0,2,1,ground,,mobile_application,False
142,172572,2016,8,12.49490984,99.81496257,Thailand,1,15,0,2,1,ground,,mobile_application,False
143,172571,2016,8,12.48124079,99.80514125,Thailand,1,15,0,2,1,ground,,mobile_application,False
144,172570,2016,8,12.47768418,99.80464186,Thailand,1,21,19,2,4,ground,,mobile_application,False
145,172569,2016,8,12.44192567,99.80521329,Thailand,1,20,0,2,0,ground,,mobile_application,False
146,172568,2016,8,12.43297014,99.80678063,Thailand,1,2,20,2,2,ground,,mobile_application,False
148,172566,2016,8,12.43033694,99.81004841,Thailand,1,21,0,2,4,ground,,mobile_application,False
149,172563,2016,8,12.38397033,99.83078995,Thailand,1,15,0,2,1,ground,,mobile_application,False
151,172561,2016,8,12.30639241,99.87519795,Thailand,1,21,19,1,4,ground,,mobile_application,False
152,172559,2016,8,12.17749777,99.84243616,Thailand,1,21,0,1,4,ground,,mobile_application,False
153,172558,2016,8,12.09047687,99.83469776,Thailand,1,19,0,1,4,ground,,mobile_application,False
154,172557,2016,8,12.07642921,99.85224777,Thailand,1,22,0,1,1,ground,,mobile_application,False
155,172553,2016,8,11.91198734,99.7872784,Thailand,1,20,21,1,4,ground,,mobile_application,False
156,172552,2016,8,11.90735912,99.79408093,Thailand,1,19,0,1,4,ground,,mobile_application,False
157,172551,2016,8,11.85514102,99.78261484,Thailand,1,3,21,1,1,ground,,mobile_application,False
158,172548,2016,8,11.01771823,99.36830008,Thailand,1,21,0,1,4,ground,,mobile_application,False
159,172545,2016,8,11.06893697,99.40719297,Thailand,1,19,0,1,4,ground,,mobile_application,False
160,172544,2016,8,11.06852213,99.39150317,Thailand,1,20,0,1,4,ground,,mobile_application,False
161,172543,2016,8,11.22454165,99.40389648,Thailand,1,19,0,1,4,ground,,mobile_application,False
162,172542,2016,8,11.24818201,99.43824545,Thailand,1,21,0,1,4,ground,,mobile_application,False
163,172540,2016,8,11.078415199999998,99.37231715,Thailand,1,19,0,1,4,ground,,mobile_application,False
164,172539,2016,8,11.22467378,99.46002198,Thailand,1,22,3,1,1,ground,,mobile_application,False
165,172536,2016,8,11.23778135,99.4860015,Thailand,1,21,21,1,4,ground,,mobile_application,False
166,172535,2016,8,11.27363959,99.52190912,Thailand,1,21,0,1,4,ground,,mobile_application,False
167,172533,2016,8,11.315730499999999,99.53651908,Thailand,1,21,0,1,4,ground,,mobile_application,False
168,172527,2016,8,11.3826233,99.51884215,Thailand,1,19,0,1,4,ground,,mobile_application,False
169,172526,2016,8,11.71030096,99.71826831,Thailand,1,21,0,1,4,ground,,mobile_application,False
170,172525,2016,8,11.72183514,99.74005564,Thailand,1,21,0,1,4,ground,,mobile_application,False
171,172524,2016,8,11.72594542,99.76080763,Thailand,1,8,0,2,3,ground,,mobile_application,False
173,172522,2016,8,11.7396665,99.76764969,Thailand,1,21,0,1,4,ground,,mobile_application,False
174,172521,2016,8,11.7644897,99.77054922,Thailand,1,21,0,1,4,ground,,mobile_application,False
175,172520,2016,8,11.82308059,99.75446748,Thailand,1,21,0,1,4,ground,,mobile_application,False
176,172519,2016,8,11.82091817,99.76170177,Thailand,1,20,0,1,4,ground,,mobile_application,False
177,172516,2016,8,11.95296694,99.74645017,Thailand,1,21,0,1,4,ground,,mobile_application,False
178,172515,2016,8,11.87597795,99.73206651,Thailand,1,21,0,2,4,ground,,mobile_application,False
179,172514,2016,8,11.82923671,99.73038779,Thailand,1,21,0,2,4,ground,,mobile_application,False
180,172513,2016,8,11.98934659,99.76015129,Thailand,1,21,0,2,4,ground,,mobile_application,False
181,172512,2016,8,12.00735705,99.75975961,Thailand,1,21,21,2,4,ground,,mobile_application,False
182,172510,2016,8,12.017642,99.80006877,Thailand,1,19,20,2,4,ground,,mobile_application,False
183,172508,2016,8,12.01716594,99.81372353,Thailand,1,19,0,1,4,ground,,mobile_application,False
184,172507,2016,8,12.01762669,99.82083229999999,Thailand,1,19,0,1,4,ground,,mobile_application,False
185,172505,2016,8,12.16183179,99.98315265,Thailand,1,20,0,2,4,ground,,mobile_application,False
