id,year,month,lat,lon,country,land_use_type,crop_primary,crop_secondary,water,intensity,source_type,source_class,source_description,use_validation
172660,2016,8,13.94997443,99.94466024,Thailand,1,20,0,2,2,ground,,mobile_application,False
172659,2016,8,13.93725684,99.93260793,Thailand,1,20,0,2,3,ground,,mobile_application,False
172658,2016,8,13.93820862,99.92703156,Thailand,1,2,0,2,1,ground,,mobile_application,False
172653,2016,8,13.87002649,99.95209678,Thailand,1,15,0,2,1,ground,,mobile_application,False
172648,2016,8,13.84628747,100.00974625,Thailand,1,15,0,2,1,ground,,mobile_application,False
172646,2016,8,13.77248642,100.09023458,Thailand,1,22,3,1,1,ground,,mobile_application,False
172644,2016,8,13.64406548,100.09068228,Thailand,1,3,0,2,1,ground,,mobile_application,False
172642,2016,8,13.63716535,100.0652144,Thailand,1,3,0,2,1,ground,,mobile_application,False
172641,2016,8,13.63871527,100.05531075,Thailand,1,3,0,2,1,ground,,mobile_application,False
172637,2016,8,13.66502339,99.96797157,Thailand,1,3,0,2,0,ground,,mobile_application,False
172636,2016,8,13.66353618,99.96681394,Thailand,1,21,0,2,4,ground,,mobile_application,False
172634,2016,8,13.62535559,99.92050089,Thailand,1,20,20,2,4,ground,,mobile_application,False
172632,2016,8,13.56302221,99.83800356,Thailand,1,3,0,2,1,ground,,mobile_application,False
172631,2016,8,13.51204733,99.70751169,Thailand,1,17,0,1,1,ground,,mobile_application,False
172629,2016,8,13.51309006,99.65337395,Thailand,1,15,0,1,1,ground,,mobile_application,False
172628,2016,8,13.51525458,99.65098612,Thailand,1,15,0,1,1,ground,,mobile_application,False
172626,2016,8,13.5287875,99.57728108,Thailand,1,17,0,1,1,ground,,mobile_application,False
172624,2016,8,13.52744208,99.57223608,Thailand,1,15,0,1,1,ground,,mobile_application,False
172622,2016,8,13.54227444,99.62580665,Thailand,1,3,0,1,1,ground,,mobile_application,False
172618,2016,8,13.5821321,99.63490934,Thailand,1,21,0,1,4,ground,,mobile_application,False
172617,2016,8,13.60066251,99.63057886,Thailand,1,17,0,1,1,ground,,mobile_application,False
172616,2016,8,13.60494341,99.63043762,Thailand,1,17,0,1,1,ground,,mobile_application,False
172615,2016,8,13.34142079,99.80200242,Thailand,1,3,0,2,1,ground,,mobile_application,False
172614,2016,8,13.34011442,99.79825735,Thailand,1,3,0,2,1,ground,,mobile_application,False
172613,2016,8,13.33010761,99.78583875,Thailand,1,3,0,2,1,ground,,mobile_application,False
172608,2016,8,13.11725249,99.87576544,Thailand,1,3,0,2,1,ground,,mobile_application,False
172607,2016,8,13.09941965,99.87248135,Thailand,1,3,0,2,1,ground,,mobile_application,False
172606,2016,8,13.07889488,99.86658283,Thailand,1,3,0,2,1,ground,,mobile_application,False
172605,2016,8,13.07453021,99.86711031,Thailand,1,3,0,2,1,ground,,mobile_application,False
172602,2016,8,13.04314732,99.8821879,Thailand,1,3,0,2,1,ground,,mobile_application,False
172600,2016,8,13.00099677,99.85908761,Thailand,1,3,0,2,1,ground,,mobile_application,False
172599,2016,8,12.95015219,99.84939551,Thailand,1,3,0,2,1,ground,,mobile_application,False
172598,2016,8,12.9262433,99.84555888,Thailand,1,3,0,2,1,ground,,mobile_application,False
172595,2016,8,12.86401527,99.79567805,Thailand,1,21,0,2,4,ground,,mobile_application,False
172594,2016,8,12.82311693,99.78126981,Thailand,1,21,0,2,4,ground,,mobile_application,False
172592,2016,8,12.79085899,99.78435294,Thailand,1,20,0,1,4,ground,,mobile_application,False
172591,2016,8,12.74867861,99.79464029,Thailand,1,17,0,1,1,ground,,mobile_application,False
172590,2016,8,12.73052325,99.75849335,Thailand,1,15,0,1,1,ground,,mobile_application,False
172589,2016,8,12.71929851,99.7322784,Thailand,1,15,0,2,1,ground,,mobile_application,False
172588,2016,8,12.68705231,99.71163277,Thailand,1,2,0,2,2,ground,,mobile_application,False
172586,2016,8,12.68169998,99.71362244,Thailand,1,21,0,2,4,ground,,mobile_application,False
172582,2016,8,12.5666545,99.74612456,Thailand,1,2,0,2,2,ground,,mobile_application,False
172581,2016,8,12.5634595,99.77648193,Thailand,1,20,0,1,4,ground,,mobile_application,False
172580,2016,8,12.5465586,99.8475511,Thailand,1,21,0,1,4,ground,,mobile_application,False
172579,2016,8,12.54859401,99.85505479,Thailand,1,20,0,1,4,ground,,mobile_application,False
172578,2016,8,12.54458822,99.87047267,Thailand,1,19,0,1,4,ground,,mobile_application,False
172576,2016,8,12.50261464,99.86478467,Thailand,1,21,0,2,1,ground,,mobile_application,False
172574,2016,8,12.50609677,99.84547735,Thailand,1,21,0,1,1,ground,,mobile_application,False
172573,2016,8,12.49394796,99.83406119,Thailand,1,15,0,2,1,ground,,mobile_application,False
172572,2016,8,12.49490984,99.81496257,Thailand,1,15,0,2,1,ground,,mobile_application,False
172571,2016,8,12.48124079,99.80514125,Thailand,1,15,0,2,1,ground,,mobile_application,False
172570,2016,8,12.47768418,99.80464186,Thailand,1,21,19,2,4,ground,,mobile_application,False
172569,2016,8,12.44192567,99.80521329,Thailand,1,20,0,2,0,ground,,mobile_application,False
172568,2016,8,12.43297014,99.80678063,Thailand,1,2,20,2,2,ground,,mobile_application,False
172567,2016,8,12.43002819,99.80933459,Thailand,1,0,0,2,0,ground,,mobile_application,False
172566,2016,8,12.43033694,99.81004841,Thailand,1,21,0,2,4,ground,,mobile_application,False
172563,2016,8,12.38397033,99.83078995,Thailand,1,15,0,2,1,ground,,mobile_application,False
172562,2016,8,12.38220503,99.83355254,Thailand,1,15,0,2,1,ground,,mobile_application,False
172561,2016,8,12.30639241,99.87519795,Thailand,1,21,19,1,4,ground,,mobile_application,False
172559,2016,8,12.17749777,99.84243616,Thailand,1,21,0,1,4,ground,,mobile_application,False
172558,2016,8,12.09047687,99.83469776,Thailand,1,19,0,1,4,ground,,mobile_application,False
172557,2016,8,12.07642921,99.85224777,Thailand,1,22,0,1,1,ground,,mobile_application,False
172553,2016,8,11.91198734,99.7872784,Thailand,1,20,21,1,4,ground,,mobile_application,False
172552,2016,8,11.90735912,99.79408093,Thailand,1,19,0,1,4,ground,,mobile_application,False
172551,2016,8,11.85514102,99.78261484,Thailand,1,3,21,1,1,ground,,mobile_application,False
172548,2016,8,11.01771823,99.36830008,Thailand,1,21,0,1,4,ground,,mobile_application,False
172545,2016,8,11.06893697,99.40719297,Thailand,1,19,0,1,4,ground,,mobile_application,False
172544,2016,8,11.06852213,99.39150317,Thailand,1,20,0,1,4,ground,,mobile_application,False
172543,2016,8,11.22454165,99.40389648,Thailand,1,19,0,1,4,ground,,mobile_application,False
172542,2016,8,11.24818201,99.43824545,Thailand,1,21,0,1,4,ground,,mobile_application,False
172540,2016,8,11.0784152,99.37231715,Thailand,1,19,0,1,4,ground,,mobile_application,False
172539,2016,8,11.22467378,99.46002198,Thailand,1,22,3,1,1,ground,,mobile_application,False
172536,2016,8,11.23778135,99.4860015,Thailand,1,21,21,1,4,ground,,mobile_application,False
172535,2016,8,11.27363959,99.52190912,Thailand,1,21,0,1,4,ground,,mobile_application,False
172533,2016,8,11.3157305,99.53651908,Thailand,1,21,0,1,4,ground,,mobile_application,False
172527,2016,8,11.3826233,99.51884215,Thailand,1,19,0,1,4,ground,,mobile_application,False
172526,2016,8,11.71030096,99.71826831,Thailand,1,21,0,1,4,ground,,mobile_application,False
172525,2016,8,11.72183514,99.74005564,Thailand,1,21,0,1,4,ground,,mobile_application,False
172524,2016,8,11.72594542,99.76080763,Thailand,1,8,0,2,3,ground,,mobile_application,False
172523,2016,8,11.72570441,99.76078301,Thailand,1,8,0,2,0,ground,,mobile_application,False
172522,2016,8,11.7396665,99.76764969,Thailand,1,21,0,1,4,ground,,mobile_application,False
172521,2016,8,11.7644897,99.77054922,Thailand,1,21,0,1,4,ground,,mobile_application,False
172520,2016,8,11.82308059,99.75446748,Thailand,1,21,0,1,4,ground,,mobile_application,False
172519,2016,8,11.82091817,99.76170177,Thailand,1,20,0,1,4,ground,,mobile_application,False
172516,2016,8,11.95296694,99.74645017,Thailand,1,21,0,1,4,ground,,mobile_application,False
172515,2016,8,11.87597795,99.73206651,Thailand,1,21,0,2,4,ground,,mobile_application,False
172514,2016,8,11.82923671,99.73038779,Thailand,1,21,0,2,4,ground,,mobile_application,False
172513,2016,8,11.98934659,99.76015129,Thailand,1,21,0,2,4,ground,,mobile_application,False
172512,2016,8,12.00735705,99.75975961,Thailand,1,21,21,2,4,ground,,mobile_application,False
172510,2016,8,12.017642,99.80006877,Thailand,1,19,20,2,4,ground,,mobile_application,False
172508,2016,8,12.01716594,99.81372353,Thailand,1,19,0,1,4,ground,,mobile_application,False
