,model_type,split_percent,augmentations,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
13,simclr_finetune,3,"rotation,contrast",0.5289773941040039,1605.0,361.0,1672.0,426.0,0.806348443031311,0.8163784146308899,0.7902511358261108,0.8948567509651184,0.8031023321368279,0.8074794541731037
14,simclr_finetune,3,"rotation,flip",0.43808916211128235,1737.0,521.0,1512.0,294.0,0.7994586825370789,0.769264817237854,0.8552437424659729,0.8737488985061646,0.8099790146527168,0.795937062745618
15,simclr_finetune,3,"rotation,gain",0.7375662922859192,1515.0,360.0,1673.0,516.0,0.7844488024711609,0.8080000281333923,0.7459379434585571,0.8697502017021179,0.7757296498557376,0.7861961708752139
16,simclr_finetune,3,"rotation,shift",0.5384616255760193,1747.0,454.0,1578.0,285.0,0.8181594610214233,0.7937301397323608,0.8597440719604492,0.891148030757904,0.8254193231989959,0.8145788053625972
17,simclr_finetune,3,"rotation,zoom",0.7307568192481995,1589.0,394.0,1638.0,443.0,0.7940452694892883,0.8013111352920532,0.7819882035255432,0.8715805411338806,0.7915317587639508,0.7947649204603232
18,simclr_finetune,3,"shift,blur",0.8861734867095947,1502.0,472.0,1560.0,530.0,0.7534449100494385,0.7608916163444519,0.7391732335090637,0.8352323770523071,0.7498752023396709,0.7535117242540179
19,simclr_finetune,3,"shift,brightness",0.41380155086517334,1717.0,412.0,1616.0,319.0,0.8201279640197754,0.8064818978309631,0.8433202505111694,0.8975671529769897,0.8244897932700337,0.8183984666268489
20,simclr_finetune,3,"shift,contrast",0.6575981378555298,1482.0,305.0,1725.0,552.0,0.7891240119934082,0.829322874546051,0.728613555431366,0.8763099312782288,0.7757131505453247,0.7927959923196672
21,simclr_finetune,3,"shift,flip",0.6215326189994812,1489.0,359.0,1675.0,541.0,0.7785432934761047,0.8057359457015991,0.7334975600242615,0.8651698231697083,0.7679216285215436,0.7801257602833452
22,simclr_finetune,3,"shift,gain",0.9771252870559692,1716.0,643.0,1389.0,316.0,0.7640255689620972,0.7274268865585327,0.8444882035255432,0.8313168883323669,0.781598737108806,0.7626666785100458
23,simclr_finetune,3,"shift,zoom",0.7474902868270874,1652.0,528.0,1504.0,380.0,0.7765747904777527,0.7577981948852539,0.8129921555519104,0.8555514216423035,0.7844254807927078,0.7753442099502507
24,simclr_finetune,3,"speckle,blur",0.5085289478302002,1673.0,487.0,1546.0,358.0,0.7920767664909363,0.7745370268821716,0.8237321376800537,0.8756054639816284,0.7983774635866909,0.7902692376036335
25,simclr_finetune,3,"speckle,brightness",1.0139250755310059,1572.0,466.0,1566.0,460.0,0.772145688533783,0.7713444828987122,0.7736220359802246,0.8460403680801392,0.7724815806820404,0.7721021757633008
26,simclr_finetune,3,"speckle,contrast",0.5316705107688904,1651.0,420.0,1613.0,380.0,0.8031495809555054,0.7971994280815125,0.8129000663757324,0.8829057216644287,0.8049731960453899,0.8023651491451861
27,simclr_finetune,3,"speckle,flip",0.6193761825561523,1588.0,347.0,1685.0,444.0,0.805364191532135,0.8206718564033508,0.7814960479736328,0.8910872936248779,0.8006049936592612,0.8071840141265845
28,simclr_finetune,3,"speckle,gain",0.45211997628211975,1740.0,529.0,1504.0,291.0,0.7982283234596252,0.7668576240539551,0.8567208051681519,0.8733048439025879,0.8093023032384282,0.7946414755359332
29,simclr_finetune,3,"speckle,rotation",0.5753535032272339,1604.0,563.0,1471.0,426.0,0.7566437125205994,0.7401938438415527,0.7901477813720703,0.8502082824707031,0.7643555058041704,0.7561282398059539
30,simclr_finetune,3,"speckle,shift",0.6795457005500793,1611.0,396.0,1636.0,421.0,0.7989665269851685,0.8026905655860901,0.7928149700164795,0.8773560523986816,0.7977222046394284,0.7993714769735608
31,simclr_finetune,3,"speckle,zoom",0.4301910698413849,1662.0,377.0,1657.0,368.0,0.8166830539703369,0.8151054382324219,0.818719208240509,0.8939552903175354,0.8169083266834389,0.816306478360798
32,simclr_finetune,3,"zoom,blur",0.7853615283966064,1406.0,359.0,1674.0,625.0,0.7578740119934082,0.7966005802154541,0.6922698020935059,0.8529534339904785,0.7407797650700915,0.7584966752117314
33,simclr_finetune,3,"zoom,brightness",0.9724687933921814,1588.0,439.0,1592.0,445.0,0.7824802994728088,0.7834237813949585,0.7811116576194763,0.8472175598144531,0.7822660110395727,0.7826515540834244
34,simclr_finetune,3,"zoom,contrast",0.7458667755126953,1612.0,364.0,1669.0,419.0,0.8073326945304871,0.8157894611358643,0.793697714805603,0.8817291855812073,0.8045919728279677,0.8082901572314063
35,simclr_finetune,3,"zoom,gain",0.4735565781593323,1723.0,567.0,1469.0,305.0,0.7854330539703369,0.7524017691612244,0.8496055006980896,0.8591107130050659,0.7980546578549398,0.7822336661295134
36,simclr_finetune_ex,3,"blur,brightness",0.5832394957542419,4254.0,1203.0,4287.0,1232.0,0.778152346611023,0.7795491814613342,0.7754283547401428,0.8454064726829529,0.7774833078247954,0.778170714684394
37,simclr_finetune_ex,3,"blur,contrast",0.450595498085022,4525.0,1280.0,4205.0,966.0,0.7953717112541199,0.779500424861908,0.8240757584571838,0.8717656135559082,0.8011685512891541,0.7938132227049363
38,simclr_finetune_ex,3,"blur,gain",0.47239381074905396,4619.0,1328.0,4160.0,869.0,0.7998359799385071,0.776694118976593,0.8416545391082764,0.8699294924736023,0.8078705753171161,0.7972040013784107
39,simclr_finetune_ex,3,"brightness,contrast",0.48538291454315186,4427.0,1301.0,4183.0,1065.0,0.7844387888908386,0.7728701233863831,0.8060815930366516,0.8632240295410156,0.7891265752965118,0.783632301232973
40,simclr_finetune_ex,3,"brightness,gain",0.48183923959732056,4000.0,901.0,4588.0,1487.0,0.7824344038963318,0.8161599636077881,0.7289958000183105,0.8720481991767883,0.7701193622278059,0.7848780113754192
41,simclr_finetune_ex,3,"contrast,gain",0.4636653959751129,4827.0,1602.0,3888.0,659.0,0.7940050959587097,0.7508165836334229,0.8798760771751404,0.8650104403495789,0.8102391899621992,0.7894134189083952
42,simclr_finetune_ex,3,"flip,blur",0.4693642258644104,4397.0,1234.0,4254.0,1091.0,0.7881742119789124,0.7808559536933899,0.8012025952339172,0.8626867532730103,0.7908984367578495,0.7875223638027099
