,model,labeling,split_percent,pretrain,arch,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
43,CA_adam,balanced,1,False,ResNet50,1.3584972620010376,1616.0,607.0,1421.0,420.0,0.7472932934761047,0.7269455790519714,0.7937131524085999,0.7875873446464539,0.7588635835795295,0.7479173133760534
44,CA_adam,balanced,1,False,Xception,3.3410701751708984,1628.0,615.0,1418.0,403.0,0.7495078444480896,0.725813627243042,0.8015756011009216,0.7484661340713501,0.7618156312066949,0.749424577635104
55,CA_adam,balanced,25,False,InceptionV3,0.9060558676719666,1798.0,288.0,1742.0,236.0,0.8710629940032959,0.8619367480278015,0.8839724659919739,0.8972676992416382,0.8728155468393194,0.8691588961673374
56,CA_adam,balanced,25,False,ResNet101V2,0.9656242728233337,1801.0,291.0,1743.0,229.0,0.8720472455024719,0.8608986735343933,0.8871921300888062,0.8884354829788208,0.8738476586920358,0.8694882642689424
57,CA_adam,balanced,25,False,ResNet152,0.3363380432128906,1711.0,215.0,1817.0,321.0,0.8681102395057678,0.8883696794509888,0.8420275449752808,0.9344769716262817,0.864578062955008,0.8723657334312819
58,CA_adam,balanced,25,False,ResNet50,0.8231590390205383,1818.0,298.0,1733.0,215.0,0.8737697005271912,0.8591682314872742,0.8942449688911438,0.8968945741653442,0.8763557480607334,0.8705506745803493
59,CA_adam,balanced,25,False,Xception,1.4495326280593872,1794.0,287.0,1745.0,238.0,0.8708169460296631,0.8620855212211609,0.8828740119934082,0.8725423812866211,0.872355935268975,0.8689053812292177
70,CA_adam,balanced,3,False,InceptionV3,1.2234572172164917,1579.0,355.0,1675.0,455.0,0.8006889820098877,0.816442608833313,0.7763028740882874,0.8370084762573242,0.7958669486889238,0.80260929485467
71,CA_adam,balanced,3,False,ResNet101V2,1.7333488464355469,1578.0,365.0,1663.0,458.0,0.7974901795387268,0.8121461868286133,0.775049090385437,0.8090894222259521,0.7931641082833557,0.7993921018440208
72,CA_adam,balanced,3,False,ResNet152,0.42676499485969543,1549.0,265.0,1769.0,481.0,0.8164370059967041,0.8539140224456787,0.7630541920661926,0.9017849564552307,0.8059313332735847,0.8213149666453466
73,CA_adam,balanced,3,False,ResNet50,1.2849918603897095,1508.0,343.0,1690.0,523.0,0.7869094610214233,0.8146947622299194,0.7424913644790649,0.8165962100028992,0.7769191046165647,0.7891156407277842
74,CA_adam,balanced,3,False,Xception,3.609550952911377,1578.0,381.0,1652.0,453.0,0.7947834730148315,0.8055130243301392,0.7769571542739868,0.7961434125900269,0.7909774421989172,0.7957639954319908
85,CA_adam,balanced,50,False,InceptionV3,0.8084134459495544,1887.0,349.0,1684.0,144.0,0.8786909580230713,0.843917727470398,0.9290989637374878,0.911079466342926,0.8844621598438284,0.8705213094459054
86,CA_adam,balanced,50,False,ResNet101V2,0.8395422697067261,1881.0,351.0,1677.0,155.0,0.8754921555519104,0.8427419066429138,0.923870325088501,0.8977452516555786,0.8814432791431768,0.8681538231299586
87,CA_adam,balanced,50,False,ResNet152,0.32915493845939636,1966.0,365.0,1663.0,70.0,0.8929625749588013,0.843414843082428,0.9656188488006592,0.9414174556732178,0.9003892779806516,0.8805613581129144
178,CA_adam,expanded,50,False,ResNet50,1.5502171516418457,4083.0,670.0,4814.0,1409.0,0.8105867505073547,0.859036386013031,0.7434450387954712,0.8344337344169617,0.7970717531437195,0.8167088984686846
179,CA_adam,expanded,50,False,Xception,2.5402276515960693,4047.0,664.0,4829.0,1436.0,0.8086734414100647,0.8590532541275024,0.7380995750427246,0.8120433688163757,0.7939964544783077,0.8145588553939783
