,model,labeling,split_percent,pretrain,arch,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
171,CA_sgd,expanded,50,False,ResNet101V2,4.973447799682617,4887.0,1016.0,4471.0,602.0,0.8525874614715576,0.8278841376304626,0.8903260827064514,0.8808435201644897,0.8579705003114314,0.8477016482362731
172,CA_sgd,expanded,50,False,ResNet152,2.517878770828247,4824.0,946.0,4541.0,665.0,0.8532252311706543,0.8360485434532166,0.8788486123085022,0.8814821839332581,0.8569144799940378,0.8498443964109957
140,CA_sgd,expanded,25,False,InceptionV3,2.100198745727539,3852.0,816.0,4669.0,1639.0,0.7763301730155945,0.8251928091049194,0.701511561870575,0.8037867546081543,0.7583423580423496,0.7793889557465298
95,CA_sgd,expanded,100,False,InceptionV3,1.2118525505065918,5015.0,952.0,4534.0,475.0,0.8699890375137329,0.8404558300971985,0.9134790301322937,0.8824672102928162,0.8754473087395805,0.8634641732806876
84,CA_sgd,balanced,50,False,Xception,2.463409185409546,1737.0,383.0,1649.0,295.0,0.8331692814826965,0.8193396329879761,0.8548228144645691,0.83962482213974,0.8367051980396325,0.8308354599214389
83,CA_sgd,balanced,50,False,ResNet50,1.0585604906082153,1727.0,379.0,1657.0,301.0,0.8326771855354309,0.8200379610061646,0.8515779376029968,0.8570862412452698,0.8355104018462931,0.8302884529530995
6,CA_sgd,balanced,100,False,ResNet101V2,1.6209156513214111,1810.0,440.0,1593.0,221.0,0.8373523354530334,0.804444432258606,0.8911865949630737,0.8528645634651184,0.8455968107592599,0.8314193721350189
7,CA_sgd,balanced,100,False,ResNet152,0.6777691841125488,1914.0,566.0,1466.0,118.0,0.8316929340362549,0.771774172782898,0.9419291615486145,0.9079594016075134,0.8484042540044943,0.8212242476344718
8,CA_sgd,balanced,100,False,ResNet50,1.5012621879577637,1787.0,416.0,1616.0,245.0,0.8373523354530334,0.8111665844917297,0.8794291615486145,0.853286862373352,0.8439197258677966,0.8327120260617041
9,CA_sgd,balanced,100,False,Xception,2.594247579574585,1803.0,432.0,1600.0,229.0,0.8373523354530334,0.8067114353179932,0.8873031735420227,0.8488190174102783,0.845090252405781,0.8318979029666915
20,CA_sgd,balanced,10,False,InceptionV3,1.2291696071624756,1879.0,565.0,1464.0,156.0,0.8225885629653931,0.7688215970993042,0.9233415126800537,0.8519459962844849,0.8390265599624479,0.8142423726010248
21,CA_sgd,balanced,10,False,ResNet101V2,1.6054835319519043,1877.0,573.0,1461.0,153.0,0.8213582634925842,0.7661224603652954,0.9246305227279663,0.8377044200897217,0.8379464275203643,0.81255411616443
22,CA_sgd,balanced,10,False,ResNet152,0.7173210382461548,1851.0,528.0,1504.0,181.0,0.8255413174629211,0.7780579924583435,0.9109252095222473,0.8952176570892334,0.8392654692710442,0.817820316282863
23,CA_sgd,balanced,10,False,ResNet50,2.0471696853637695,1894.0,584.0,1448.0,138.0,0.8223425149917603,0.7643260955810547,0.9320865869522095,0.855155348777771,0.8399113129533963,0.8131081983006699
24,CA_sgd,balanced,10,False,Xception,2.995701551437378,1886.0,569.0,1462.0,147.0,0.8238189220428467,0.7682281136512756,0.9276930689811707,0.8326320648193359,0.8404634646104603,0.8149215106517016
35,CA_sgd,balanced,1,False,InceptionV3,1.3323699235916138,1682.0,488.0,1545.0,349.0,0.7940452694892883,0.7751151919364929,0.8281634449958801,0.8303141593933105,0.8007617052154926,0.7920263522547406
36,CA_sgd,balanced,1,False,ResNet101V2,2.380230188369751,1736.0,528.0,1503.0,297.0,0.7969980239868164,0.7667844295501709,0.853910505771637,0.8210711479187012,0.8080055854866867,0.7937814277564392
37,CA_sgd,balanced,1,False,ResNet152,1.2483810186386108,1577.0,410.0,1621.0,456.0,0.7869094610214233,0.7936587929725647,0.7757009267807007,0.8568227291107178,0.7845771157593644,0.787581159787571
38,CA_sgd,balanced,1,False,ResNet50,1.9746291637420654,1705.0,502.0,1527.0,330.0,0.7952755689620972,0.7725419402122498,0.837837815284729,0.8259082436561584,0.8038661057354201,0.7931462372397575
39,CA_sgd,balanced,1,False,Xception,4.148151874542236,1696.0,506.0,1528.0,334.0,0.7933070659637451,0.7702088952064514,0.8354679942131042,0.7950539588928223,0.8015122906026774,0.7907988810303515
50,CA_sgd,balanced,25,False,InceptionV3,1.1774883270263672,1886.0,554.0,1477.0,147.0,0.8275098204612732,0.7729508280754089,0.9276930689811707,0.856350839138031,0.8432819205829979,0.8184579851834504
51,CA_sgd,balanced,25,False,ResNet101V2,2.376647472381592,1886.0,572.0,1461.0,145.0,0.8235728144645691,0.767290472984314,0.9286065697669983,0.8433645963668823,0.8402762150901925,0.8144522690702417
52,CA_sgd,balanced,25,False,ResNet152,0.486926794052124,1841.0,480.0,1554.0,189.0,0.8353838324546814,0.7931925654411316,0.9068965315818787,0.9016718864440918,0.8462422207573965,0.8277877467932723
53,CA_sgd,balanced,25,False,ResNet50,2.3086864948272705,1875.0,546.0,1488.0,155.0,0.8275098204612732,0.7744733691215515,0.9236453175544739,0.8500854969024658,0.8425073071423472,0.818539006339414
54,CA_sgd,balanced,25,False,Xception,3.777803659439087,1894.0,570.0,1465.0,135.0,0.8265255689620972,0.7686688303947449,0.933464765548706,0.8289779424667358,0.8430892513478908,0.8167313503064991
65,CA_sgd,balanced,3,False,InceptionV3,1.5214622020721436,1696.0,451.0,1579.0,338.0,0.8058562874794006,0.7899394631385803,0.8338249921798706,0.8369224667549133,0.8112891799259395,0.8040455260066962
66,CA_sgd,balanced,3,False,ResNet101V2,2.3729233741760254,1688.0,449.0,1581.0,346.0,0.804379940032959,0.7898923754692078,0.8298918604850769,0.8177084922790527,0.8093982377534618,0.8027901166369703
67,CA_sgd,balanced,3,False,ResNet152,0.8774003386497498,1741.0,501.0,1531.0,291.0,0.8051180839538574,0.7765387892723083,0.8567913174629211,0.862908124923706,0.8146934775500788,0.8015653604553774
68,CA_sgd,balanced,3,False,ResNet50,1.734616994857788,1698.0,452.0,1580.0,334.0,0.8065944910049438,0.7897674441337585,0.835629940032959,0.8368808031082153,0.8120516599942852,0.8044851621419019
69,CA_sgd,balanced,3,False,Xception,2.7169878482818604,1693.0,453.0,1579.0,339.0,0.8051180839538574,0.7889096140861511,0.8331692814826965,0.8084784150123596,0.8104356182902469,0.8031309369861119
80,CA_sgd,balanced,50,False,InceptionV3,0.9896565675735474,1721.0,378.0,1654.0,311.0,0.8304625749588013,0.8199142217636108,0.8469488024711609,0.8626657128334045,0.8332122773802159,0.8287319212294386
81,CA_sgd,balanced,50,False,ResNet101V2,1.5496927499771118,1730.0,385.0,1650.0,299.0,0.8316929340362549,0.817966878414154,0.8526367545127869,0.843314528465271,0.8349420661657326,0.8292059226481358
82,CA_sgd,balanced,50,False,ResNet152,0.4760648310184479,1756.0,379.0,1652.0,277.0,0.8385826945304871,0.8224824070930481,0.8637481331825256,0.9074020385742188,0.8426103391366517,0.8357924532035469
173,CA_sgd,expanded,50,False,ResNet50,1.8583000898361206,4727.0,888.0,4601.0,760.0,0.8498542308807373,0.8418521881103516,0.861490786075592,0.8802922964096069,0.851558276032168,0.8482981406413146
174,CA_sgd,expanded,50,False,Xception,2.0229580402374268,4856.0,920.0,4563.0,637.0,0.8581450581550598,0.8407202363014221,0.8840342164039612,0.8634967803955078,0.8618333515798565,0.8546787987630545
