,model_type,split_percent,pretrain,architecture,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
23,supervised_baseline,3,False,ResNet50,0.6423758864402771,1973.0,894.0,1111.0,22.0,0.7710000276565552,0.6881757974624634,0.9889724254608154,0.9122043251991272,0.8116001653969696,0.765817054797253
24,supervised_baseline,3,False,Xception,0.5695705413818359,703.0,62.0,1934.0,1301.0,0.659250020980835,0.9189542531967163,0.3507983982563019,0.8940423130989075,0.5077645314988374,0.5967741901436199
25,supervised_baseline,50,False,InceptionV3,0.1932496726512909,1939.0,195.0,1803.0,63.0,0.9355000257492065,0.9086223244667053,0.9685314893722534,0.971718430519104,0.9376209095970383,0.9277512157084429
26,supervised_baseline,50,False,ResNet101V2,0.24503976106643677,1998.0,356.0,1639.0,7.0,0.909250020980835,0.8487680554389954,0.9965087175369263,0.9580885767936707,0.9167240153874311,0.8928943819674274
27,supervised_baseline,50,False,ResNet152,0.19331766664981842,1986.0,210.0,1820.0,48.0,0.936515748500824,0.9043715596199036,0.976401150226593,0.9642532467842102,0.9390070649389229,0.9271708418428232
28,supervised_baseline,50,False,ResNet50,0.2326696366071701,1839.0,211.0,1787.0,163.0,0.906499981880188,0.8970731496810913,0.9185814261436462,0.9572107791900635,0.9076998941992283,0.9041297816969764
29,supervised_baseline,50,False,Xception,0.170069620013237,1960.0,199.0,1795.0,46.0,0.9387500286102295,0.9078276753425598,0.9770687818527222,0.9731358289718628,0.9411764529485198,0.9297912519449705
30,supervised_baseline_ex,100,False,InceptionV3,0.2801763713359833,4941.0,684.0,4806.0,545.0,0.8880284428596497,0.8784000277519226,0.9006562232971191,0.9487751126289368,0.8893889117588364,0.8856955279116264
31,supervised_baseline_ex,100,False,ResNet101V2,259.4482116699219,4534.0,627.0,4862.0,953.0,0.8560495376586914,0.878511905670166,0.826316773891449,0.9261755347251892,0.8516153352198043,0.860395979292616
32,supervised_baseline_ex,100,False,ResNet152,0.3169804513454437,4959.0,877.0,4607.0,533.0,0.8715379238128662,0.8497258424758911,0.9029497504234314,0.9350728988647461,0.8755296650451148,0.8667560045559065
33,supervised_baseline_ex,100,False,ResNet50,0.34863391518592834,5233.0,1298.0,4196.0,249.0,0.8590561151504517,0.8012555241584778,0.9545786380767822,0.9377288818359375,0.8712228335152031,0.8465810893248161
34,supervised_baseline_ex,100,False,Xception,0.29344451427459717,4749.0,520.0,4970.0,737.0,0.8854774236679077,0.9013095498085022,0.8656580448150635,0.9529141187667847,0.8831241331583018,0.8891038486126103
35,supervised_baseline_ex,10,False,InceptionV3,0.3895419239997864,5211.0,1527.0,3960.0,278.0,0.8355503082275391,0.7733749151229858,0.9493532776832581,0.9187945127487183,0.8523759158477935,0.82430796215452
36,supervised_baseline_ex,10,False,ResNet101V2,0.36456331610679626,5027.0,1216.0,4270.0,463.0,0.8470298647880554,0.8052218556404114,0.9156648516654968,0.9197043776512146,0.856899350634274,0.8389519429202142
37,supervised_baseline_ex,10,False,ResNet152,0.36958467960357666,5014.0,1250.0,4237.0,475.0,0.8428389430046082,0.8004469871520996,0.913463294506073,0.9182204604148865,0.8532289581156101,0.8348781634192421
38,supervised_baseline_ex,10,False,ResNet50,0.3969006836414337,5316.0,1878.0,3609.0,173.0,0.8131377696990967,0.7389491200447083,0.9684824347496033,0.9197824001312256,0.8382874744553833,0.8023343564853744
39,supervised_baseline_ex,10,False,Xception,0.39217156171798706,4478.0,698.0,4791.0,1009.0,0.8444788455963135,0.865146815776825,0.8161107897758484,0.9213297367095947,0.8399137036035428,0.8481595896100929
40,supervised_baseline_ex,1,False,InceptionV3,0.4653986394405365,5022.0,1674.0,3814.0,466.0,0.8050291538238525,0.75,0.9150874614715576,0.88643479347229,0.8243598153061843,0.7979872876070108
41,supervised_baseline_ex,1,False,ResNet101V2,0.6082316637039185,4620.0,1232.0,4255.0,869.0,0.8085823655128479,0.7894737124443054,0.8416833877563477,0.8693135976791382,0.8147429928766068,0.8061420606029702
42,supervised_baseline_ex,1,False,ResNet152,0.9655048847198486,5484.0,4889.0,601.0,2.0,0.5543913841247559,0.5286802053451538,0.9996354579925537,0.8689019680023193,0.6915946644787109,0.6271729007050962
43,supervised_baseline_ex,1,False,ResNet50,0.6398987770080566,5488.0,4832.0,651.0,5.0,0.5593112111091614,0.5317829251289368,0.999089777469635,0.875725269317627,0.694112428064555,0.6300080200970776
44,supervised_baseline_ex,1,False,Xception,0.6360695362091064,5487.0,4087.0,1397.0,5.0,0.6271865963935852,0.5731146931648254,0.9990895986557007,0.8699066042900085,0.728395071501426,0.6680600738389509
45,supervised_baseline_ex,25,False,InceptionV3,0.37807169556617737,5119.0,1267.0,4220.0,370.0,0.8508564233779907,0.8015972375869751,0.9325924515724182,0.9253312349319458,0.8621473621346217,0.8409725581517928
46,supervised_baseline_ex,25,False,ResNet101V2,0.35761383175849915,5258.0,1564.0,3929.0,225.0,0.837007999420166,0.7707417011260986,0.9589640498161316,0.920825719833374,0.8546119276893628,0.824698052768233
47,supervised_baseline_ex,25,False,ResNet152,0.3613456189632416,4834.0,975.0,4508.0,659.0,0.8511297106742859,0.8321570158004761,0.8800291419029236,0.921366810798645,0.8554238349008427,0.8475250007064701
48,supervised_baseline_ex,25,False,ResNet50,0.36684632301330566,4654.0,842.0,4646.0,834.0,0.8473032116889954,0.8467976450920105,0.8480320572853088,0.9211958050727844,0.8474144016527975,0.8472087163326651
49,supervised_baseline_ex,25,False,Xception,0.3610021770000458,4310.0,568.0,4919.0,1179.0,0.8408345580101013,0.8835588097572327,0.7852067947387695,0.9285804629325867,0.8314845165833965,0.8481469243774147
50,supervised_baseline_ex,3,False,InceptionV3,0.39822232723236084,4634.0,1081.0,4411.0,850.0,0.8240706920623779,0.8108486533164978,0.8450036644935608,0.9019773602485657,0.8275739038228708,0.8219226795750675
51,supervised_baseline_ex,3,False,ResNet101V2,0.4120073616504669,4443.0,957.0,4529.0,1047.0,0.8174198269844055,0.8227777481079102,0.8092896342277527,0.8972307443618774,0.8159779553514022,0.8182320303414194
52,supervised_baseline_ex,3,False,ResNet152,0.4671589136123657,4758.0,1443.0,4043.0,732.0,0.8018403649330139,0.7672955989837646,0.8666666746139526,0.8705582618713379,0.813959460340516,0.7977867236473635
53,supervised_baseline_ex,3,False,ResNet50,0.37667495012283325,4863.0,1223.0,4268.0,622.0,0.8319059610366821,0.7990469932556152,0.8865998387336731,0.9084972143173218,0.8405496595333757,0.826244555109414
54,supervised_baseline_ex,3,False,Xception,0.3799022138118744,4563.0,935.0,4551.0,927.0,0.8303571343421936,0.8299381732940674,0.8311475515365601,0.9101194739341736,0.8305424221623781,0.830340908133905
55,supervised_baseline_ex,50,False,InceptionV3,0.33434316515922546,4692.0,590.0,4893.0,801.0,0.8732689619064331,0.8882998824119568,0.8541780710220337,0.9420140981674194,0.8709048841076067,0.876627022872657
56,supervised_baseline_ex,50,False,ResNet101V2,0.40494441986083984,4969.0,1464.0,4025.0,518.0,0.8194242119789124,0.7724234461784363,0.905595064163208,0.8979525566101074,0.833724843906172,0.8122377903636613
57,supervised_baseline_ex,50,False,ResNet152,0.3684457540512085,5298.0,1599.0,3887.0,192.0,0.8368257880210876,0.7681600451469421,0.9650273323059082,0.9185354113578796,0.8554129216444813,0.8242065797852134
58,supervised_baseline_ex,50,False,ResNet50,0.3358646333217621,4908.0,915.0,4573.0,580.0,0.8637937307357788,0.8428645133972168,0.8943148851394653,0.9258094429969788,0.8678277915590263,0.859344006745025
59,supervised_baseline_ex,50,False,Xception,0.3711030185222626,4337.0,523.0,4966.0,1150.0,0.8475765585899353,0.8923868536949158,0.7904136776924133,0.936942994594574,0.8383106159015218,0.8555928221225308
60,supervised_baseline_pretrained,100,True,InceptionV3,0.3562909960746765,1778.0,355.0,1646.0,221.0,0.8560000061988831,0.83356773853302,0.8894447088241577,0.9284750819206238,0.8606001838488402,0.8513966394401427
61,supervised_baseline_pretrained,100,True,ResNet101V2,0.29468628764152527,1774.0,252.0,1755.0,219.0,0.8822500109672546,0.8756169676780701,0.8901153802871704,0.9521633386611938,0.88280665081411,0.8803970068158107
62,supervised_baseline_pretrained,100,True,ResNet152,0.4384974539279938,1593.0,304.0,1727.0,440.0,0.8169291615486145,0.8397469520568848,0.7835710644721985,0.9032570123672485,0.8106870082270274,0.820147573443764
63,supervised_baseline_pretrained,100,True,ResNet50,0.5991433262825012,1642.0,326.0,1673.0,359.0,0.8287500143051147,0.8343495726585388,0.8205897212028503,0.9035549759864807,0.8274124443756568,0.8297119674791866
64,supervised_baseline_pretrained,100,True,Xception,0.2711283266544342,1874.0,288.0,1709.0,129.0,0.8957499861717224,0.8667899966239929,0.9355965852737427,0.9521573185920715,0.8998799360090438,0.8885727685045951
65,supervised_baseline_pretrained,10,True,InceptionV3,0.40051549673080444,1648.0,350.0,1649.0,353.0,0.8242499828338623,0.8248248100280762,0.8235881924629211,0.9005833864212036,0.824206037398453,0.8244121917614109
66,supervised_baseline_pretrained,10,True,ResNet101V2,0.9743493795394897,1046.0,104.0,1896.0,954.0,0.7354999780654907,0.9095652103424072,0.5230000019073486,0.89361172914505,0.6641269837857854,0.7297674400732929
67,supervised_baseline_pretrained,10,True,ResNet152,0.7595263719558716,1162.0,246.0,1787.0,869.0,0.7256397604942322,0.8252840638160706,0.5721319317817688,0.8514044880867004,0.6757778173246024,0.7192077315853883
68,supervised_baseline_pretrained,10,True,ResNet50,0.7721772193908691,1534.0,374.0,1623.0,469.0,0.7892500162124634,0.803983211517334,0.7658511996269226,0.8711101412773132,0.7844540833725867,0.790857516329638
69,supervised_baseline_pretrained,10,True,Xception,0.417147159576416,1522.0,175.0,1823.0,480.0,0.8362500071525574,0.8968768119812012,0.7602397799491882,0.9309033751487732,0.8229251140233107,0.8461823479323771
70,supervised_baseline_pretrained,1,True,InceptionV3,0.7623140215873718,1787.0,663.0,1328.0,222.0,0.7787500023841858,0.7293877601623535,0.8894972801208496,0.8653810620307922,0.8015250158891515,0.775944428654733
71,supervised_baseline_pretrained,1,True,ResNet101V2,1.9488364458084106,1609.0,488.0,1517.0,386.0,0.781499981880188,0.7672865986824036,0.8065162897109985,0.8413024544715881,0.7864125110941033,0.779932136505051
72,supervised_baseline_pretrained,1,True,ResNet152,1.29927659034729,1111.0,278.0,1753.0,922.0,0.7047244310379028,0.7998560070991516,0.546483039855957,0.8044289946556091,0.6493278839311075,0.6927873653614378
73,supervised_baseline_pretrained,1,True,ResNet50,0.8990883827209473,1658.0,593.0,1407.0,342.0,0.7662500143051147,0.7365615367889404,0.8289999961853027,0.8320000171661377,0.7800517556512014,0.7649953911218813
74,supervised_baseline_pretrained,1,True,Xception,0.8537238240242004,1777.0,477.0,1526.0,220.0,0.8257499933242798,0.7883762121200562,0.8898347616195679,0.8883816003799438,0.8360385788863638,0.8195234404736168
75,supervised_baseline_pretrained,25,True,InceptionV3,0.36995139718055725,1710.0,350.0,1655.0,285.0,0.8412500023841858,0.8300970792770386,0.8571428656578064,0.9173488616943359,0.843403205858989,0.8389206840380677
76,supervised_baseline_pretrained,25,True,ResNet101V2,0.4853130280971527,1751.0,347.0,1650.0,252.0,0.8502500057220459,0.8346043825149536,0.8741887211799622,0.9158520698547363,0.8539380645489787,0.8473947406237926
77,supervised_baseline_pretrained,25,True,ResNet152,0.5242511630058289,1800.0,623.0,1409.0,232.0,0.7896161675453186,0.7428807020187378,0.8858267664909363,0.8727295994758606,0.8080807915247384,0.7851119316627028
78,supervised_baseline_pretrained,25,True,ResNet50,0.5991131663322449,1765.0,495.0,1503.0,237.0,0.8169999718666077,0.7809734344482422,0.8816183805465698,0.8847602605819702,0.8282496380872661,0.8118675128353243
79,supervised_baseline_pretrained,25,True,Xception,0.34776735305786133,1886.0,381.0,1620.0,113.0,0.8765000104904175,0.8319364786148071,0.9434717297554016,0.9401442408561707,0.8842006529257416,0.8660645924657239
80,supervised_baseline_pretrained,3,True,InceptionV3,0.8145105838775635,1708.0,438.0,1559.0,295.0,0.8167499899864197,0.7958993315696716,0.8527209162712097,0.8750098943710327,0.8233309134284482,0.8139793367810907
81,supervised_baseline_pretrained,3,True,ResNet101V2,2.7403404712677,1724.0,352.0,1646.0,278.0,0.8424999713897705,0.8304431438446045,0.8611388802528381,0.870925784111023,0.8455125070101771,0.84042898436561
82,supervised_baseline_pretrained,3,True,ResNet152,0.6459258198738098,1506.0,446.0,1586.0,526.0,0.7608267664909363,0.7715163826942444,0.7411417365074158,0.8439993858337402,0.7560240934226622,0.7611185928939133
83,supervised_baseline_pretrained,3,True,ResNet50,0.5308665633201599,1674.0,566.0,1430.0,330.0,0.7760000228881836,0.7473214268684387,0.8353293538093567,0.8526248931884766,0.7888784212099529,0.7745219024220437
84,supervised_baseline_pretrained,3,True,Xception,0.839364230632782,1707.0,324.0,1678.0,291.0,0.8462499976158142,0.8404726982116699,0.8543543815612793,0.9040834903717041,0.8473566900948591,0.8450495304370461
85,supervised_baseline_pretrained,50,True,InceptionV3,0.35476577281951904,1849.0,437.0,1568.0,146.0,0.8542500138282776,0.8088364005088806,0.9268170595169067,0.9265913367271423,0.8638168754478697,0.8446779434898365
86,supervised_baseline_pretrained,50,True,ResNet101V2,0.29614248871803284,1837.0,297.0,1702.0,164.0,0.8847500085830688,0.8608247637748718,0.9180409908294678,0.9475313425064087,0.8885127132510351,0.87908759218811
87,supervised_baseline_pretrained,50,True,ResNet152,0.45728451013565063,1467.0,291.0,1746.0,560.0,0.7906004190444946,0.8344709873199463,0.72372967004776,0.8891690373420715,0.7751651360970729,0.7939743887818579
88,supervised_baseline_pretrained,50,True,ResNet50,0.4329111576080322,1560.0,323.0,1682.0,435.0,0.8105000257492065,0.8284652233123779,0.7819548845291138,0.8980254530906677,0.8045384243244682,0.8123589697654665
89,supervised_baseline_pretrained,50,True,Xception,0.30273082852363586,1918.0,368.0,1623.0,91.0,0.8852499723434448,0.8390201330184937,0.9547038078308105,0.9451109170913696,0.8931315433747279,0.8743352080739358
90,supervised_baseline_pretrained_ex,100,True,InceptionV3,0.3987480103969574,4672.0,1137.0,4348.0,819.0,0.8217930197715759,0.8042692542076111,0.8508468270301819,0.8991771936416626,0.8269026574966386,0.8192179629986367
91,supervised_baseline_pretrained_ex,100,True,ResNet101V2,0.43235868215560913,4892.0,1090.0,4394.0,600.0,0.846027672290802,0.817786693572998,0.8907501697540283,0.9154835939407349,0.852710470295898,0.8407424345813118
92,supervised_baseline_pretrained_ex,100,True,ResNet152,0.6392552256584167,4187.0,979.0,4515.0,1295.0,0.7928206920623779,0.810491681098938,0.7637723684310913,0.8736254572868347,0.7864387820473119,0.7942962044275478
93,supervised_baseline_pretrained_ex,100,True,ResNet50,0.5215453505516052,4130.0,912.0,4574.0,1360.0,0.7930029034614563,0.819119393825531,0.7522768378257751,0.8795073628425598,0.7842764733389948,0.7955566841347953
94,supervised_baseline_pretrained_ex,100,True,Xception,0.3473687767982483,5013.0,1227.0,4263.0,473.0,0.8451166152954102,0.8033654093742371,0.9137805104255676,0.924599289894104,0.855023030217282,0.8370811651012421
95,supervised_baseline_pretrained_ex,10,True,InceptionV3,0.5059278607368469,5276.0,2603.0,2883.0,214.0,0.7433491349220276,0.6696281433105469,0.9610200524330139,0.8726190328598022,0.7892886706951299,0.7449171866588524
96,supervised_baseline_pretrained_ex,10,True,ResNet101V2,0.6589030027389526,5190.0,2081.0,3412.0,293.0,0.7837098836898804,0.7137945294380188,0.9465621113777161,0.8827127814292908,0.8138623236303816,0.7775280947742133
97,supervised_baseline_pretrained_ex,10,True,ResNet152,0.9444878101348877,4779.0,1988.0,3498.0,711.0,0.7540998458862305,0.706221342086792,0.8704918026924133,0.8323098421096802,0.7797992820806664,0.7536269773499835
98,supervised_baseline_pretrained_ex,10,True,ResNet50,0.7125661373138428,3990.0,1129.0,4362.0,1495.0,0.7609329223632812,0.7794491052627563,0.7274384498596191,0.8440311551094055,0.7525461962299635,0.7613050838765704
99,supervised_baseline_pretrained_ex,10,True,Xception,0.4033961594104767,4972.0,1432.0,4056.0,516.0,0.8225218653678894,0.7763897776603699,0.9059766530990601,0.9003802537918091,0.8361924006621441,0.8152601754978798
100,supervised_baseline_pretrained_ex,1,True,InceptionV3,0.6780975461006165,4616.0,1573.0,3916.0,871.0,0.7773323655128479,0.7458394169807434,0.8412611484527588,0.8453786373138428,0.7906817477809607,0.775146948952364
101,supervised_baseline_pretrained_ex,1,True,ResNet101V2,1.9366979598999023,4768.0,1813.0,3674.0,721.0,0.769132673740387,0.7245099544525146,0.8686463832855225,0.8211284279823303,0.7900579957935282,0.7669293882263679
102,supervised_baseline_pretrained_ex,1,True,ResNet152,1.0258123874664307,4166.0,1561.0,3929.0,1320.0,0.7375182509422302,0.7274314761161804,0.7593875527381897,0.8026666045188904,0.7430660997905502,0.7377804156031036
103,supervised_baseline_pretrained_ex,1,True,ResNet50,1.7684825658798218,3488.0,1101.0,4387.0,2000.0,0.7174744606018066,0.7600784301757812,0.6355684995651245,0.7891205549240112,0.6922695090345208,0.7134869602438221
104,supervised_baseline_pretrained_ex,1,True,Xception,0.702423095703125,4676.0,1559.0,3930.0,811.0,0.7840743660926819,0.7499598860740662,0.8521960973739624,0.8600602746009827,0.7978160612350544,0.7811995187161098
105,supervised_baseline_pretrained_ex,25,True,InceptionV3,0.4558456540107727,4942.0,1621.0,3868.0,545.0,0.802660346031189,0.7530093193054199,0.9006743431091309,0.8843841552734375,0.8202489864720517,0.7965400768653238
106,supervised_baseline_pretrained_ex,25,True,ResNet101V2,0.4199857711791992,4803.0,1191.0,4298.0,684.0,0.8291727304458618,0.8013013005256653,0.8753417134284973,0.9014671444892883,0.8366866978086426,0.8245493546828485
107,supervised_baseline_pretrained_ex,25,True,ResNet152,0.5578100085258484,4417.0,1397.0,4092.0,1070.0,0.7752369046211243,0.7597179412841797,0.8049936294555664,0.8530259132385254,0.7817007483720884,0.7742331445275854
108,supervised_baseline_pretrained_ex,25,True,ResNet50,0.5198916792869568,3789.0,893.0,4592.0,1702.0,0.7635750770568848,0.8092695474624634,0.69003826379776,0.8564148545265198,0.7449130182360869,0.7651969140519836
109,supervised_baseline_pretrained_ex,25,True,Xception,0.4719209671020508,4612.0,1006.0,4483.0,875.0,0.8286260962486267,0.8209327459335327,0.8405321836471558,0.9038361310958862,0.8306168626034275,0.8273635368149179
110,supervised_baseline_pretrained_ex,3,True,InceptionV3,0.5453113317489624,5179.0,2528.0,2958.0,311.0,0.7413447499275208,0.6719865202903748,0.9433515667915344,0.853062629699707,0.7848753667709093,0.7432548951207087
111,supervised_baseline_pretrained_ex,3,True,ResNet101V2,0.9977666735649109,4247.0,1162.0,4322.0,1245.0,0.7807033658027649,0.7851728796958923,0.7733066082000732,0.8555300235748291,0.7791945690193726,0.7811771981978233
112,supervised_baseline_pretrained_ex,3,True,ResNet152,0.7856447100639343,4385.0,1617.0,3872.0,1102.0,0.752277672290802,0.7305898070335388,0.7991616725921631,0.8248547911643982,0.7633388559435376,0.7521010883703702
113,supervised_baseline_pretrained_ex,3,True,ResNet50,0.6199153661727905,3208.0,790.0,4699.0,2279.0,0.7203899621963501,0.8024011850357056,0.5846546292304993,0.827003538608551,0.6764364670924891,0.7137877200151086
114,supervised_baseline_pretrained_ex,3,True,Xception,0.4533891975879669,4509.0,1146.0,4340.0,981.0,0.8062135577201843,0.7973474860191345,0.8213114738464355,0.881145179271698,0.809152088423262,0.8051785749475453
115,supervised_baseline_pretrained_ex,50,True,InceptionV3,0.427893728017807,4975.0,1561.0,3929.0,511.0,0.8112244606018066,0.761168897151947,0.9068537950515747,0.8912910223007202,0.8276492955207861,0.8042353563063304
116,supervised_baseline_pretrained_ex,50,True,ResNet101V2,0.3798627555370331,4707.0,1044.0,4447.0,778.0,0.8340014815330505,0.8184663653373718,0.8581585884094238,0.9090307354927063,0.8378426423499163,0.8312827455172382
117,supervised_baseline_pretrained_ex,50,True,ResNet152,0.5151496529579163,4587.0,1462.0,4027.0,900.0,0.7848032116889954,0.758307158946991,0.8359759449958801,0.8634395599365234,0.7952496545062397,0.7825419402199232
118,supervised_baseline_pretrained_ex,50,True,ResNet50,0.6044235825538635,4641.0,1410.0,4082.0,843.0,0.7947339415550232,0.7669806480407715,0.8462800979614258,0.863395094871521,0.8046814001604399,0.7917093056837993
119,supervised_baseline_pretrained_ex,50,True,Xception,0.38345029950141907,4752.0,963.0,4525.0,736.0,0.8452077507972717,0.8314960598945618,0.8658891916275024,0.9180183410644531,0.848344181732389,0.8426527870252845
