model,labeling,split_percent,pretrain,arch,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
BEN,balanced,25,False,ResNet50,1.5643055438995361,1762.0,517.0,1517.0,268.0,0.8068405389785767,0.7731460928916931,0.8679803013801575,0.8495532274246216,0.8178231500770807,0.8023679262606721
BEN,balanced,1,False,ResNet50,3.9743475914001465,1732.0,757.0,1276.0,299.0,0.7401574850082397,0.69586181640625,0.8527818918228149,0.7778204083442688,0.7663717007196955,0.7413325937260293
BEN,balanced,25,False,Xception,3.2744624614715576,1752.0,498.0,1534.0,280.0,0.8085629940032959,0.7786666750907898,0.8622047305107117,0.8102481961250305,0.818309208707576,0.8046540187911752
BEN,expanded,10,False,ResNet101V2,2.1185710430145264,4347.0,1428.0,4059.0,1142.0,0.7658527493476868,0.7527272701263428,0.7919475436210632,0.7916630506515503,0.7718394930606108,0.7653618190119135
BEN,expanded,10,False,ResNet152,1.7453718185424805,4296.0,1429.0,4061.0,1190.0,0.7613884806632996,0.7503930330276489,0.7830842137336731,0.7908924221992493,0.7663901626199255,0.7609825359014499
BEN,expanded,1,False,Xception,2.987203359603882,4660.0,1814.0,3670.0,832.0,0.7589285969734192,0.7198022603988647,0.8485069274902344,0.7649844288825989,0.7788734633298026,0.7581344734732179
BEN,expanded,1,False,ResNet50,3.1886086463928223,4646.0,1811.0,3679.0,840.0,0.7584730386734009,0.7195292115211487,0.8468829989433289,0.794230043888092,0.7780289918701166,0.7575000200202048
BEN,expanded,1,False,ResNet152,3.570460796356201,4652.0,2035.0,3452.0,837.0,0.7383381724357605,0.695678174495697,0.8475131988525391,0.7646150588989258,0.7641261417364014,0.739861096048334
BEN,expanded,1,False,ResNet101V2,2.192859172821045,4671.0,1818.0,3670.0,817.0,0.7599307298660278,0.7198335528373718,0.8511297106742859,0.800346314907074,0.7799949722447078,0.7588540944833452
BEN,expanded,1,False,InceptionV3,2.376452684402466,4635.0,1802.0,3686.0,853.0,0.7581086158752441,0.7200559377670288,0.844569981098175,0.7743707895278931,0.7773585013734144,0.7572704607692204
BEN,expanded,10,False,ResNet50,2.852731704711914,4338.0,1413.0,4074.0,1151.0,0.7663994431495667,0.7543035745620728,0.790307879447937,0.782920777797699,0.7718861036858365,0.765934886824501
BEN,expanded,10,False,Xception,3.491413116455078,4340.0,1417.0,4069.0,1150.0,0.7661260962486267,0.7538648843765259,0.7905282378196716,0.7795422077178955,0.7717613734938619,0.7657022058287931
BEN,balanced,3,False,InceptionV3,1.3782782554626465,1587.0,472.0,1562.0,443.0,0.7748523354530334,0.7707625031471252,0.7817733883857727,0.8207491636276245,0.7762289001010959,0.7743981728252671
BEN,balanced,3,False,ResNet101V2,4.232198238372803,1547.0,453.0,1578.0,486.0,0.7689468264579773,0.7735000252723694,0.7609444260597229,0.7811695337295532,0.7671708575401255,0.7692690400985949
BEN,balanced,3,False,ResNet152,0.7621987462043762,1536.0,510.0,1521.0,497.0,0.7522145509719849,0.7507331371307373,0.7555336952209473,0.852687656879425,0.7531257663499673,0.7523265305317501
BEN,balanced,3,False,ResNet50,1.5372477769851685,1593.0,467.0,1565.0,439.0,0.7770669460296631,0.7733009457588196,0.7839567065238953,0.804246187210083,0.7785923693490867,0.776820533722398
BEN,expanded,10,False,InceptionV3,1.9915895462036133,4337.0,1387.0,4104.0,1148.0,0.7690415382385254,0.7576869130134583,0.7907019257545471,0.8049907088279724,0.7738424434981647,0.7683812577846418
BEN,balanced,3,False,Xception,3.820793867111206,1600.0,469.0,1562.0,433.0,0.7780511975288391,0.7733204364776611,0.7870142459869385,0.7802842855453491,0.7801072514256117,0.7778317822850107
BEN,balanced,1,False,ResNet152,1.759381651878357,1697.0,707.0,1324.0,336.0,0.7433562874794006,0.7059068083763123,0.8347269892692566,0.8308926820755005,0.7649312455187185,0.7441894319042969
BEN,balanced,1,False,InceptionV3,1.9290916919708252,1726.0,719.0,1313.0,306.0,0.7477854490280151,0.7059304714202881,0.8494094610214233,0.7624101638793945,0.7710520494466607,0.748049700577124
BEN,balanced,100,False,ResNet101V2,2.5291991233825684,1886.0,556.0,1477.0,145.0,0.8275098204612732,0.7723177671432495,0.9286065697669983,0.8378807902336121,0.8432818990876059,0.8182212470245306
BEN,balanced,100,False,ResNet152,1.0923389196395874,1863.0,524.0,1506.0,171.0,0.8289862275123596,0.7804775834083557,0.9159291982650757,0.8767537474632263,0.8427957432826324,0.8209459419365036
BEN,balanced,100,False,ResNet50,2.2451703548431396,1883.0,556.0,1475.0,150.0,0.8262795209884644,0.7720377445220947,0.9262174367904663,0.8447792530059814,0.8421288257564151,0.8173925868812507
BEN,balanced,100,False,Xception,4.327583312988281,1887.0,554.0,1479.0,144.0,0.8282480239868164,0.7730438113212585,0.9290989637374878,0.8289898633956909,0.8439176954441684,0.8188919247885343
BEN,expanded,100,False,ResNet101V2,4.665824890136719,5015.0,1861.0,3624.0,476.0,0.7870808839797974,0.7293484807014465,0.9133126735687256,0.7970396280288696,0.8110293582350915,0.781842760224122
BEN,expanded,100,False,ResNet152,2.953650951385498,5018.0,1859.0,3630.0,469.0,0.7879008650779724,0.7296786308288574,0.9145252704620361,0.816744327545166,0.8117114266487417,0.7823917684324165
BEN,expanded,100,False,ResNet50,6.212305545806885,5018.0,1845.0,3647.0,466.0,0.7894496917724609,0.7311671376228333,0.915025532245636,0.7993395328521729,0.812829034547101,0.7836543548436544
BEN,expanded,50,False,Xception,2.061532974243164,4269.0,1221.0,4265.0,1221.0,0.7775145769119263,0.7775956392288208,0.7775956392288208,0.7877317070960999,0.7775956392288208,0.7775956392288208
BEN,expanded,50,False,ResNet50,6.245593547821045,4275.0,1229.0,4257.0,1215.0,0.7773323655128479,0.7767078280448914,0.7786885499954224,0.788870632648468,0.7776969278434238,0.7773669481247474
BEN,expanded,50,False,ResNet152,1.852268934249878,4265.0,1256.0,4235.0,1220.0,0.7744169235229492,0.772504985332489,0.7775751948356628,0.8208506107330322,0.7750317979245042,0.7741876923860946
BEN,expanded,50,False,ResNet101V2,3.27296781539917,4292.0,1229.0,4259.0,1196.0,0.7790634036064148,0.7773954272270203,0.782069981098175,0.8089103698730469,0.7797256980905881,0.7789473904474681
BEN,expanded,50,False,InceptionV3,2.379240036010742,4297.0,1254.0,4235.0,1190.0,0.7773323655128479,0.7740947604179382,0.7831237316131592,0.7941282987594604,0.7785830703949594,0.7770811951468308
BEN,expanded,100,False,Xception,5.560334205627441,5011.0,1838.0,3647.0,480.0,0.788811981678009,0.7316396832466125,0.9125842452049255,0.7963011860847473,0.8121556152346922,0.7834176083019182
BEN,balanced,10,False,InceptionV3,1.482020616531372,1769.0,538.0,1496.0,261.0,0.803395688533783,0.7667967081069946,0.8714285492897034,0.838076651096344,0.8157712621372325,0.7987657992893389
BEN,balanced,1,False,ResNet101V2,2.9718377590179443,1734.0,722.0,1308.0,300.0,0.7485235929489136,0.7060260772705078,0.8525073528289795,0.7564640045166016,0.7723830757017358,0.7489202502386291
BEN,balanced,10,False,ResNet101V2,2.4693098068237305,1772.0,541.0,1490.0,261.0,0.8026574850082397,0.7661046385765076,0.8716182708740234,0.8083968758583069,0.8154624894496467,0.7983180672525267
BEN,balanced,10,False,ResNet50,2.05428409576416,1775.0,551.0,1483.0,255.0,0.8016732335090637,0.7631126642227173,0.8743842244148254,0.8256393671035767,0.814967869163637,0.7969171051690622
BEN,balanced,50,False,ResNet152,0.5328170657157898,1708.0,388.0,1646.0,322.0,0.8252952694892883,0.8148854970932007,0.8413792848587036,0.8973819017410278,0.8279204922512396,0.8235294042455686
BEN,balanced,50,False,ResNet50,0.9874781370162964,1642.0,415.0,1617.0,390.0,0.8019192814826965,0.7982499003410339,0.8080708384513855,0.8406045436859131,0.8031303471151552,0.8014969141815945
BEN,expanded,3,False,InceptionV3,1.9639062881469727,5033.0,2066.0,3426.0,451.0,0.7706815004348755,0.7089731097221375,0.9177607297897339,0.7968121767044067,0.7999682096428629,0.7671476525396671
BEN,expanded,3,False,ResNet101V2,6.379471302032471,5035.0,2104.0,3382.0,455.0,0.7668549418449402,0.7052808403968811,0.9171220660209656,0.7867574691772461,0.7973711325480096,0.7641137163324846
BEN,expanded,3,False,ResNet152,2.7485392093658447,5020.0,2028.0,3459.0,469.0,0.772503674030304,0.7122588157653809,0.9145563840866089,0.8034055233001709,0.8008295559808666,0.7689558479331
BEN,balanced,10,False,ResNet152,5.543772220611572,1606.0,647.0,1382.0,429.0,0.7352362275123596,0.7128273248672485,0.7891891598701477,0.7915316820144653,0.7490671418866919,0.7365845998613901
BEN,expanded,3,False,ResNet50,6.055933952331543,5040.0,2066.0,3417.0,453.0,0.7704992890357971,0.7092598080635071,0.917531430721283,0.7860839366912842,0.800063524969233,0.7673179674635512
BEN,balanced,50,False,Xception,2.456838846206665,1684.0,414.0,1619.0,347.0,0.8127460479736328,0.8026692271232605,0.8291481733322144,0.8129714727401733,0.8156938677985266,0.811305607702883
BEN,balanced,10,False,Xception,3.4784493446350098,1774.0,546.0,1485.0,259.0,0.8019192814826965,0.7646551728248596,0.8726020455360413,0.813807487487793,0.8150700579652084,0.7975423294061862
BEN,expanded,3,False,Xception,5.994140148162842,5028.0,2053.0,3435.0,460.0,0.7710459232330322,0.7100691795349121,0.9161807298660278,0.7801879048347473,0.8000636254009821,0.7676335658256943
CA_adam,expanded,100,False,ResNet152,0.9587315320968628,4794.0,1235.0,4254.0,693.0,0.8243440389633179,0.795156717300415,0.8737014532089233,0.8677288293838501,0.832580732995635,0.8197206936113824
CA_adam,expanded,100,False,ResNet50,2.017460823059082,4839.0,1228.0,4260.0,649.0,0.8289905190467834,0.7975935339927673,0.881742000579834,0.8437178730964661,0.8375595035465124,0.8237997975377155
CA_adam,expanded,100,False,Xception,1.7988537549972534,4848.0,1240.0,4244.0,644.0,0.8283527493476868,0.7963206171989441,0.8827385306358337,0.8468735814094543,0.8373056928312413,0.8231831468762261
CA_adam,expanded,100,False,ResNet101V2,2.1153316497802734,4859.0,1224.0,4266.0,627.0,0.831359326839447,0.7987834811210632,0.8857091069221497,0.8453662395477295,0.8400034630128669,0.8257987749449024
CA_adam,expanded,100,False,InceptionV3,1.0831698179244995,4848.0,1214.0,4273.0,641.0,0.8309949040412903,0.7997360825538635,0.8832209706306458,0.855512261390686,0.8394078479246069,0.8257537152836896
CA_adam,expanded,10,False,InceptionV3,1.4981515407562256,4586.0,1287.0,4199.0,904.0,0.800382673740387,0.7808615565299988,0.8353369832038879,0.8330760598182678,0.8071811982196967,0.7982130352531112
CA_adam,expanded,1,False,ResNet50,2.136617422103882,3792.0,1452.0,4036.0,1696.0,0.7131924033164978,0.7231121063232422,0.6909620761871338,0.7360460758209229,0.7066716138104624,0.7120680799251118
CA_adam,expanded,10,False,ResNet152,1.0163543224334717,4536.0,1195.0,4292.0,953.0,0.8043003082275391,0.7914848923683167,0.8263800144195557,0.8463378548622131,0.8085561334867974,0.8027844809166118
CA_adam,expanded,50,False,ResNet152,0.6258577108383179,4459.0,1132.0,4354.0,1031.0,0.8029336929321289,0.7975317239761353,0.8122040033340454,0.8768805861473083,0.8048009968464881,0.8023632266361379
CA_adam,expanded,50,False,ResNet101V2,1.2522262334823608,4176.0,740.0,4749.0,1311.0,0.8131377696990967,0.8494710922241211,0.7610716223716736,0.8471651673316956,0.8028453222106643,0.817807936441545
CA_adam,expanded,50,False,InceptionV3,1.1078834533691406,4106.0,669.0,4819.0,1382.0,0.8131377696990967,0.8598952889442444,0.7481778264045715,0.853497326374054,0.8001558910190252,0.8191248777675878
CA_adam,expanded,3,False,Xception,2.4202048778533936,3987.0,1294.0,4196.0,1499.0,0.7455357313156128,0.7549706697463989,0.7267590165138245,0.7535886764526367,0.740596272760801,0.7453265313322442
CA_adam,expanded,3,False,ResNet50,2.01768159866333,3970.0,1276.0,4212.0,1518.0,0.7454445958137512,0.7567670345306396,0.7233964800834656,0.7622212171554565,0.7397055847108777,0.7453066088601794
CA_adam,expanded,3,False,ResNet152,1.082552433013916,4034.0,1347.0,4142.0,1453.0,0.7448979616165161,0.7496747970581055,0.7351922988891602,0.7900778651237488,0.7423629211970728,0.7447843135417856
CA_adam,expanded,3,False,ResNet101V2,1.8622020483016968,4006.0,1300.0,4191.0,1479.0,0.7468112111091614,0.7549943327903748,0.7303555011749268,0.7603437900543213,0.742470563769188,0.7465987316509921
CA_adam,expanded,3,False,InceptionV3,1.6384074687957764,3986.0,1287.0,4205.0,1498.0,0.7462645769119263,0.7559264302253723,0.7268417477607727,0.7721489667892456,0.7410988391588013,0.7459763119110407
CA_adam,expanded,25,False,Xception,1.8831841945648193,3920.0,901.0,4585.0,1570.0,0.7748724222183228,0.8131093382835388,0.7140254974365234,0.7848206758499146,0.7603530299463511,0.7771609971167852
CA_adam,expanded,25,False,ResNet50,1.4880441427230835,3969.0,912.0,4576.0,1519.0,0.7785167694091797,0.8131530284881592,0.7232142686843872,0.7999564409255981,0.7655511464072933,0.7807868700728198
CA_adam,expanded,25,False,ResNet152,1.1160084009170532,3954.0,859.0,4626.0,1537.0,0.7817055583000183,0.8215250372886658,0.7200874090194702,0.8194683194160461,0.7674689406698998,0.7846794977932168
CA_adam,expanded,25,False,ResNet101V2,1.8874725103378296,3948.0,903.0,4586.0,1539.0,0.7775145769119263,0.8138527870178223,0.7195188403129578,0.7951605916023254,0.7637840730363401,0.7797748118393657
CA_adam,expanded,25,False,InceptionV3,2.567275047302246,3929.0,897.0,4590.0,1560.0,0.7761479616165161,0.8141317963600159,0.7157952189445496,0.7895082831382751,0.7618031992319941,0.778482269807629
CA_adam,expanded,1,False,Xception,2.4582574367523193,3754.0,1332.0,4155.0,1735.0,0.7205721735954285,0.7381045818328857,0.6839132905006409,0.7259616255760193,0.7099763555946791,0.7191111592872313
CA_adam,expanded,1,False,ResNet152,1.2749719619750977,3639.0,1587.0,3898.0,1852.0,0.686680018901825,0.6963260769844055,0.662720799446106,0.7330516576766968,0.6791079578157156,0.6847519325594927
CA_adam,expanded,1,False,ResNet101V2,2.2861504554748535,3756.0,1346.0,4144.0,1730.0,0.7197521924972534,0.736181914806366,0.6846518516540527,0.7366939187049866,0.709482450409438,0.7181644559193585
CA_adam,expanded,1,False,InceptionV3,1.6008695363998413,3715.0,1318.0,4166.0,1777.0,0.7180211544036865,0.7381283640861511,0.6764384508132935,0.7465658187866211,0.7059382446198268,0.7163517212859762
CA_adam,expanded,10,False,Xception,2.8682124614715576,4619.0,1304.0,4186.0,867.0,0.8022047877311707,0.7798413038253784,0.8419613838195801,0.8108670711517334,0.8097116478231189,0.7995038213275589
CA_adam,expanded,10,False,ResNet50,1.6650257110595703,4636.0,1333.0,4157.0,850.0,0.8011115193367004,0.776679515838623,0.8450601696968079,0.8259451389312744,0.8094282076323795,0.7982093748657566
CA_adam,expanded,10,False,ResNet101V2,2.0517473220825195,4587.0,1273.0,4213.0,903.0,0.8017492890357971,0.7827644944190979,0.8355191349983215,0.8200937509536743,0.8082819369802163,0.7995932551329157
CA_adam,expanded,50,False,ResNet50,1.5502171516418457,4083.0,670.0,4814.0,1409.0,0.8105867505073547,0.859036386013031,0.7434450387954712,0.8344337344169617,0.7970717531437195,0.8167088984686846
CA_adam,balanced,50,False,Xception,1.3548294305801392,1882.0,355.0,1674.0,153.0,0.875,0.8413053154945374,0.9248157143592834,0.8783832788467407,0.8810861353117359,0.867414343369336
CA_adam,balanced,50,False,ResNet152,0.32915493845939636,1966.0,365.0,1663.0,70.0,0.8929625749588013,0.843414843082428,0.9656188488006592,0.9414174556732178,0.9003892779806516,0.8805613581129144
CA_adam,balanced,25,False,ResNet152,0.3363380432128906,1711.0,215.0,1817.0,321.0,0.8681102395057678,0.8883696794509888,0.8420275449752808,0.9344769716262817,0.864578062955008,0.8723657334312819
CA_adam,balanced,25,False,ResNet101V2,0.9656242728233337,1801.0,291.0,1743.0,229.0,0.8720472455024719,0.8608986735343933,0.8871921300888062,0.8884354829788208,0.8738476586920358,0.8694882642689424
CA_adam,balanced,25,False,InceptionV3,0.9060558676719666,1798.0,288.0,1742.0,236.0,0.8710629940032959,0.8619367480278015,0.8839724659919739,0.8972676992416382,0.8728155468393194,0.8691588961673374
CA_adam,balanced,1,False,Xception,3.3410701751708984,1628.0,615.0,1418.0,403.0,0.7495078444480896,0.725813627243042,0.8015756011009216,0.7484661340713501,0.7618156312066949,0.749424577635104
CA_adam,balanced,50,False,ResNet50,0.6186711192131042,1858.0,349.0,1683.0,174.0,0.8713090419769287,0.8418667912483215,0.914370059967041,0.9065965414047241,0.8766218381823403,0.8647223054521018
CA_adam,balanced,1,False,ResNet152,0.5651838779449463,1528.0,657.0,1373.0,506.0,0.7138287425041199,0.6993135213851929,0.7512291073799133,0.7892414331436157,0.7243422730652808,0.7158026381545401
CA_adam,balanced,1,False,ResNet101V2,1.692956566810608,1615.0,619.0,1416.0,414.0,0.7458169460296631,0.7229185104370117,0.7959585785865784,0.7677386999130249,0.757682361739059,0.7457287764130044
CA_adam,balanced,1,False,InceptionV3,1.4650206565856934,1528.0,529.0,1502.0,505.0,0.7455708384513855,0.7428293824195862,0.751598596572876,0.7797137498855591,0.7471882608836959,0.7457296285719068
CA_adam,balanced,25,False,ResNet50,0.8231590390205383,1818.0,298.0,1733.0,215.0,0.8737697005271912,0.8591682314872742,0.8942449688911438,0.8968945741653442,0.8763557480607334,0.8705506745803493
CA_adam,balanced,10,False,Xception,1.8095686435699463,1785.0,385.0,1645.0,249.0,0.8439960479736328,0.8225806355476379,0.8775811195373535,0.8475364446640015,0.8491912406505778,0.8401317782628772
CA_adam,balanced,10,False,ResNet152,0.32931092381477356,1821.0,316.0,1716.0,211.0,0.8703247904777527,0.8521291613578796,0.8961614370346069,0.9271471500396729,0.8735908029062518,0.8663178044651949
CA_adam,balanced,10,False,ResNet101V2,1.1684983968734741,1781.0,382.0,1652.0,249.0,0.844734251499176,0.8233934640884399,0.8773398995399475,0.8646313548088074,0.8495111044614584,0.8406230529431225
CA_adam,balanced,10,False,InceptionV3,0.9321912527084351,1775.0,402.0,1628.0,259.0,0.8373523354530334,0.8153421878814697,0.8726646900177002,0.8641757369041443,0.8430301404120673,0.8335942178927279
CA_adam,balanced,100,False,Xception,1.5023167133331299,1677.0,220.0,1812.0,355.0,0.8585137724876404,0.8840274214744568,0.8252952694892883,0.8628984689712524,0.853652330128878,0.8635427434333471
CA_adam,balanced,100,False,ResNet50,0.8998690247535706,1610.0,219.0,1811.0,424.0,0.841781497001648,0.8802624344825745,0.7915437817573547,0.8707209825515747,0.8335490675424984,0.8485593889164113
CA_adam,balanced,100,False,ResNet152,0.40754687786102295,1774.0,368.0,1663.0,259.0,0.845718502998352,0.8281979560852051,0.8726020455360413,0.9129335880279541,0.8498203550092126,0.8424885237660815
CA_adam,balanced,100,False,ResNet101V2,1.1838103532791138,1675.0,217.0,1815.0,357.0,0.8587598204612732,0.8853065371513367,0.8243110179901123,0.8745432496070862,0.8537206823571024,0.8639958607483172
CA_adam,balanced,100,False,InceptionV3,0.8033819794654846,1669.0,221.0,1812.0,362.0,0.8565452694892883,0.8830687999725342,0.8217626810073853,0.8865099549293518,0.8513134496581384,0.8616417256445601
CA_adam,balanced,10,False,ResNet50,0.9163559675216675,1800.0,404.0,1630.0,230.0,0.8439960479736328,0.8166969418525696,0.8866994976997375,0.8711522221565247,0.8502598118661242,0.8387698204899922
CA_adam,balanced,25,False,Xception,1.4495326280593872,1794.0,287.0,1745.0,238.0,0.8708169460296631,0.8620855212211609,0.8828740119934082,0.8725423812866211,0.872355935268975,0.8689053812292177
CA_adam,balanced,1,False,ResNet50,1.3584972620010376,1616.0,607.0,1421.0,420.0,0.7472932934761047,0.7269455790519714,0.7937131524085999,0.7875873446464539,0.7588635835795295,0.7479173133760534
CA_adam,expanded,50,False,Xception,2.5402276515960693,4047.0,664.0,4829.0,1436.0,0.8086734414100647,0.8590532541275024,0.7380995750427246,0.8120433688163757,0.7939964544783077,0.8145588553939783
CA_adam,balanced,3,False,ResNet50,1.2849918603897095,1508.0,343.0,1690.0,523.0,0.7869094610214233,0.8146947622299194,0.7424913644790649,0.8165962100028992,0.7769191046165647,0.7891156407277842
CA_adam,balanced,3,False,Xception,3.609550952911377,1578.0,381.0,1652.0,453.0,0.7947834730148315,0.8055130243301392,0.7769571542739868,0.7961434125900269,0.7909774421989172,0.7957639954319908
CA_adam,balanced,50,False,InceptionV3,0.8084134459495544,1887.0,349.0,1684.0,144.0,0.8786909580230713,0.843917727470398,0.9290989637374878,0.911079466342926,0.8844621598438284,0.8705213094459054
CA_adam,balanced,50,False,ResNet101V2,0.8395422697067261,1881.0,351.0,1677.0,155.0,0.8754921555519104,0.8427419066429138,0.923870325088501,0.8977452516555786,0.8814432791431768,0.8681538231299586
CA_adam,balanced,3,False,ResNet101V2,1.7333488464355469,1578.0,365.0,1663.0,458.0,0.7974901795387268,0.8121461868286133,0.775049090385437,0.8090894222259521,0.7931641082833557,0.7993921018440208
CA_adam,balanced,3,False,ResNet152,0.42676499485969543,1549.0,265.0,1769.0,481.0,0.8164370059967041,0.8539140224456787,0.7630541920661926,0.9017849564552307,0.8059313332735847,0.8213149666453466
CA_adam,balanced,3,False,InceptionV3,1.2234572172164917,1579.0,355.0,1675.0,455.0,0.8006889820098877,0.816442608833313,0.7763028740882874,0.8370084762573242,0.7958669486889238,0.80260929485467
CA_sgd,expanded,3,False,ResNet152,4.264751434326172,4984.0,1483.0,4005.0,504.0,0.818968653678894,0.7706819176673889,0.9081632494926453,0.8397358655929565,0.833793381742298,0.8116382499980155
CA_sgd,expanded,3,False,InceptionV3,1.6060512065887451,4868.0,1373.0,4122.0,613.0,0.8190597891807556,0.7800031900405884,0.8881590962409973,0.8369453549385071,0.8305749794592885,0.8130044990445451
CA_sgd,balanced,10,False,ResNet50,2.0471696853637695,1894.0,584.0,1448.0,138.0,0.8223425149917603,0.7643260955810547,0.9320865869522095,0.855155348777771,0.8399113129533963,0.8131081983006699
CA_sgd,expanded,3,False,ResNet50,4.108453750610352,4865.0,1361.0,4124.0,626.0,0.818968653678894,0.7814005613327026,0.8859952688217163,0.8292648792266846,0.8304173344745522,0.8134091177881229
CA_sgd,expanded,3,False,Xception,5.838362693786621,4892.0,1380.0,4108.0,596.0,0.8199708461761475,0.7799744606018066,0.8913994431495667,0.825160026550293,0.8319727839363936,0.8138864102345551
CA_sgd,balanced,10,False,Xception,2.995701551437378,1886.0,569.0,1462.0,147.0,0.8238189220428467,0.7682281136512756,0.9276930689811707,0.8326320648193359,0.8404634646104603,0.8149215106517016
CA_sgd,expanded,100,False,ResNet101V2,2.184208393096924,5005.0,922.0,4564.0,485.0,0.8718112111091614,0.8444406986236572,0.9116575717926025,0.8828855752944946,0.8767627299668278,0.8657172571602454
CA_sgd,expanded,100,False,ResNet152,1.6297770738601685,5032.0,1043.0,4445.0,456.0,0.8634293079376221,0.8283127546310425,0.9169096350669861,0.890852689743042,0.8703623676309716,0.8558793536587865
CA_sgd,expanded,100,False,ResNet50,1.1645969152450562,4832.0,955.0,4541.0,648.0,0.8539540767669678,0.8349749445915222,0.8817518353462219,0.8746285438537598,0.8577261081561085,0.8500058675078537
CA_sgd,expanded,3,False,ResNet101V2,3.055304527282715,4894.0,1380.0,4103.0,599.0,0.8196974992752075,0.7800446152687073,0.8909521102905273,0.8250892162322998,0.8318177833195054,0.8138129689040822
CA_sgd,balanced,10,False,ResNet152,0.7173210382461548,1851.0,528.0,1504.0,181.0,0.8255413174629211,0.7780579924583435,0.9109252095222473,0.8952176570892334,0.8392654692710442,0.817820316282863
CA_sgd,expanded,100,False,InceptionV3,1.2118525505065918,5015.0,952.0,4534.0,475.0,0.8699890375137329,0.8404558300971985,0.9134790301322937,0.8824672102928162,0.8754473087395805,0.8634641732806876
CA_sgd,balanced,10,False,InceptionV3,1.2291696071624756,1879.0,565.0,1464.0,156.0,0.8225885629653931,0.7688215970993042,0.9233415126800537,0.8519459962844849,0.8390265599624479,0.8142423726010248
CA_sgd,expanded,100,False,Xception,2.550652503967285,5016.0,944.0,4543.0,473.0,0.8709001541137695,0.8416107296943665,0.913827657699585,0.8797523379325867,0.8762337286621552,0.8643804875409012
CA_sgd,balanced,50,False,ResNet50,1.0585604906082153,1727.0,379.0,1657.0,301.0,0.8326771855354309,0.8200379610061646,0.8515779376029968,0.8570862412452698,0.8355104018462931,0.8302884529530995
CA_sgd,balanced,50,False,Xception,2.463409185409546,1737.0,383.0,1649.0,295.0,0.8331692814826965,0.8193396329879761,0.8548228144645691,0.83962482213974,0.8367051980396325,0.8308354599214389
CA_sgd,balanced,100,False,Xception,2.594247579574585,1803.0,432.0,1600.0,229.0,0.8373523354530334,0.8067114353179932,0.8873031735420227,0.8488190174102783,0.845090252405781,0.8318979029666915
CA_sgd,balanced,100,False,ResNet50,1.5012621879577637,1787.0,416.0,1616.0,245.0,0.8373523354530334,0.8111665844917297,0.8794291615486145,0.853286862373352,0.8439197258677966,0.8327120260617041
